Modestia,Skell,Modestia.Skell@icanschool.com,UX,2018,Paris
Kimberley,Means,Kimberley.Means@icanschool.com,GameDesign,2018,Paris
Glynnis,Bendick,Glynnis.Bendick@icanschool.com,GameDesign,2021,Paris
Stephanie,Sheng,Stephanie.Sheng@icanschool.com,UX,2018,Paris
Kelly,Boycey,Kelly.Boycey@icanschool.com,GameProgramming,2019,Paris
Kimberley,Demitria,Kimberley.Demitria@icanschool.com,UX,2018,Paris
Winny,Ethban,Winny.Ethban@icanschool.com,GameDesign,2018,Paris
Ezmeralda,Drisko,Ezmeralda.Drisko@icanschool.com,UX,2021,Paris
Renie,Ranjiv,Renie.Ranjiv@icanschool.com,Communication,2023,Paris
Jenda,Melleta,Jenda.Melleta@icanschool.com,Communication,2018,Paris
Gilligan,Engdahl,Gilligan.Engdahl@icanschool.com,BD,2020,Paris
Etta,Holtz,Etta.Holtz@icanschool.com,GameDesign,2022,Paris
Viki,Malina,Viki.Malina@icanschool.com,BD,2021,Paris
Bee,Ciro,Bee.Ciro@icanschool.com,Communication,2023,Paris
Bee,Rosalba,Bee.Rosalba@icanschool.com,GameArt,2021,Paris
Gilligan,Reinke,Gilligan.Reinke@icanschool.com,UX,2021,Paris
Kimberley,Lay,Kimberley.Lay@icanschool.com,GameProgramming,2022,Paris
Raquela,Corilla,Raquela.Corilla@icanschool.com,GameDesign,2023,Paris
Shirlee,Margarete,Shirlee.Margarete@icanschool.com,Web,2023,Paris
Dania,Monaco,Dania.Monaco@icanschool.com,Web,2020,Paris
Alie,Barrus,Alie.Barrus@icanschool.com,GameDesign,2022,Paris
Caressa,Cosenza,Caressa.Cosenza@icanschool.com,BD,2018,Paris
Merle,Ferrell,Merle.Ferrell@icanschool.com,Web,2019,Paris
Sophia,Grimbly,Sophia.Grimbly@icanschool.com,BD,2019,Paris
Madalyn,Friede,Madalyn.Friede@icanschool.com,GameDesign,2019,Paris
Shaine,Ingra,Shaine.Ingra@icanschool.com,Web,2021,Paris
Brietta,Yate,Brietta.Yate@icanschool.com,GameArt,2021,Paris
Hope,Lea,Hope.Lea@icanschool.com,GameProgramming,2019,Paris
Trudie,Jorgan,Trudie.Jorgan@icanschool.com,GameDesign,2020,Paris
Tami,Vilma,Tami.Vilma@icanschool.com,GameArt,2021,Paris
Lindie,Dosia,Lindie.Dosia@icanschool.com,GameArt,2023,Paris
Siana,Waldron,Siana.Waldron@icanschool.com,Communication,2020,Paris
Concettina,Smitt,Concettina.Smitt@icanschool.com,GameArt,2020,Paris
Shauna,Deny,Shauna.Deny@icanschool.com,BD,2021,Paris
Paola,Celestine,Paola.Celestine@icanschool.com,GameArt,2019,Paris
Jinny,Schlosser,Jinny.Schlosser@icanschool.com,GameDesign,2021,Paris
Dulce,Orlene,Dulce.Orlene@icanschool.com,GameArt,2022,Paris
Daune,Brieta,Daune.Brieta@icanschool.com,GameProgramming,2020,Paris
Lesly,Roscoe,Lesly.Roscoe@icanschool.com,Web,2023,Paris
Carmela,Gert,Carmela.Gert@icanschool.com,GameDesign,2022,Paris
Mariann,Joni,Mariann.Joni@icanschool.com,GameArt,2023,Paris
Maisey,Ethban,Maisey.Ethban@icanschool.com,UX,2018,Paris
Stephanie,Docilla,Stephanie.Docilla@icanschool.com,GameArt,2022,Paris
Neila,McLaughlin,Neila.McLaughlin@icanschool.com,GameDesign,2020,Paris
Keelia,Sholley,Keelia.Sholley@icanschool.com,BD,2022,Paris
Vivia,Poppy,Vivia.Poppy@icanschool.com,GameArt,2018,Paris
Gianina,Mich,Gianina.Mich@icanschool.com,Web,2019,Paris
Morganica,Terrence,Morganica.Terrence@icanschool.com,GameDesign,2020,Paris
Ketti,Gabrielli,Ketti.Gabrielli@icanschool.com,BD,2018,Paris
Corina,Clara,Corina.Clara@icanschool.com,UX,2023,Paris
Robbi,Pulsifer,Robbi.Pulsifer@icanschool.com,Communication,2021,Paris
Hettie,Hilbert,Hettie.Hilbert@icanschool.com,GameArt,2018,Paris
Deloria,Leopold,Deloria.Leopold@icanschool.com,BD,2023,Paris
